Appendix 2a: 2021 Covid-19 Deaths as of April 30th as reported by Brasil.io (age and sex distribution according to hospitalized COVID-19 deaths),,,
MT,Total,30-34,147
MT,Total,35-39,154
MT,Total,40-44,334
MT,Total,45-49,348
MT,Total,50-54,389
MT,Total,55-59,648
MT,Total,60-64,624
MT,Total,65-69,641
MT,Total,70-74,669
MT,Total,75-79,543
MT,Total,80-84,345
MT,Total,85-89,232
MT,Total,90+,119
PA,Female,0,3
PA,Female,01-04,4
PA,Female,05-09,0
PA,Female,10-14,2
PA,Female,15-19,2
PA,Female,20-24,7
PA,Female,25-29,27
PA,Female,30-34,44
PA,Female,35-39,82
PA,Female,40-44,88
PA,Female,45-49,106
PA,Female,50-54,172
PA,Female,55-59,227
PA,Female,60-64,331
PA,Female,65-69,372
PA,Female,70-74,360
PA,Female,75-79,267
PA,Female,80-84,249
PA,Female,85-89,118
PA,Female,90+,84
PA,Male,0,4
PA,Male,01-04,1
PA,Male,05-09,0
PA,Male,10-14,5
PA,Male,15-19,9
PA,Male,20-24,13
PA,Male,25-29,29
PA,Male,30-34,62
PA,Male,35-39,104
PA,Male,40-44,143
PA,Male,45-49,179
PA,Male,50-54,256
PA,Male,55-59,313
PA,Male,60-64,420
PA,Male,65-69,528
PA,Male,70-74,437
PA,Male,75-79,345
PA,Male,80-84,264
PA,Male,85-89,158
PA,Male,90+,68
PA,Total,0,7
PA,Total,01-04,5
PA,Total,05-09,0
PA,Total,10-14,7
PA,Total,15-19,11
PA,Total,20-24,20
PA,Total,25-29,56
PA,Total,30-34,105
PA,Total,35-39,187
PA,Total,40-44,231
PA,Total,45-49,285
PA,Total,50-54,428
PA,Total,55-59,540
PA,Total,60-64,751
PA,Total,65-69,900
PA,Total,70-74,797
PA,Total,75-79,613
PA,Total,80-84,513
PA,Total,85-89,276
PA,Total,90+,153
PB,Female,0,0
PB,Female,01-04,0
PB,Female,05-09,0
PB,Female,10-14,0
PB,Female,15-19,1
PB,Female,20-24,6
PB,Female,25-29,13
PB,Female,30-34,23
PB,Female,35-39,41
PB,Female,40-44,68
PB,Female,45-49,51
PB,Female,50-54,93
PB,Female,55-59,120
PB,Female,60-64,154
PB,Female,65-69,182
PB,Female,70-74,168
PB,Female,75-79,167
PB,Female,80-84,156
PB,Female,85-89,95
PB,Female,90+,68
PB,Male,0,1
PB,Male,01-04,0
PB,Male,05-09,0
PB,Male,10-14,1
PB,Male,15-19,2
PB,Male,20-24,3
PB,Male,25-29,17
PB,Male,30-34,48
PB,Male,35-39,71
PB,Male,40-44,101
PB,Male,45-49,107
PB,Male,50-54,127
PB,Male,55-59,168
PB,Male,60-64,193
PB,Male,65-69,207
PB,Male,70-74,202
PB,Male,75-79,178
PB,Male,80-84,148
PB,Male,85-89,89
PB,Male,90+,54
PB,Total,0,1
PB,Total,01-04,0
PB,Total,05-09,0
PB,Total,10-14,1
PB,Total,15-19,3
PB,Total,20-24,9
PB,Total,25-29,30
PB,Total,30-34,72
PB,Total,35-39,112
PB,Total,40-44,168
PB,Total,45-49,158
PB,Total,50-54,220
PB,Total,55-59,288
PB,Total,60-64,347
PB,Total,65-69,388
PB,Total,70-74,370
PB,Total,75-79,345
PB,Total,80-84,305
PB,Total,85-89,184
PB,Total,90+,122
PE,Female,0,10
PE,Female,01-04,0
PE,Female,05-09,0
PE,Female,10-14,6
PE,Female,15-19,0
PE,Female,20-24,6
PE,Female,25-29,22
PE,Female,30-34,38
PE,Female,35-39,41
PE,Female,40-44,81
PE,Female,45-49,105
PE,Female,50-54,144
PE,Female,55-59,150
PE,Female,60-64,211
PE,Female,65-69,306
PE,Female,70-74,241
PE,Female,75-79,294
PE,Female,80-84,221
PE,Female,85-89,144
PE,Female,90+,109
PE,Male,0,4
PE,Male,01-04,2
PE,Male,05-09,2
PE,Male,10-14,2
PE,Male,15-19,4
PE,Male,20-24,6
PE,Male,25-29,22
PE,Male,30-34,53
PE,Male,35-39,59
PE,Male,40-44,93
PE,Male,45-49,142
PE,Male,50-54,146
PE,Male,55-59,211
PE,Male,60-64,247
PE,Male,65-69,288
PE,Male,70-74,308
PE,Male,75-79,296
PE,Male,80-84,194
PE,Male,85-89,103
PE,Male,90+,73
PE,Total,0,14
PE,Total,01-04,2
PE,Total,05-09,2
PE,Total,10-14,8
PE,Total,15-19,4
PE,Total,20-24,12
PE,Total,25-29,45
PE,Total,30-34,91
PE,Total,35-39,99
PE,Total,40-44,174
PE,Total,45-49,247
PE,Total,50-54,290
PE,Total,55-59,361
PE,Total,60-64,458
PE,Total,65-69,594
PE,Total,70-74,549
PE,Total,75-79,590
PE,Total,80-84,415
PE,Total,85-89,247
PE,Total,90+,182
PI,Female,0,5
PI,Female,01-04,0
PI,Female,05-09,0
PI,Female,10-14,2
PI,Female,15-19,0
PI,Female,20-24,8
PI,Female,25-29,14
PI,Female,30-34,18
PI,Female,35-39,14
PI,Female,40-44,37
PI,Female,45-49,48
PI,Female,50-54,61
PI,Female,55-59,65
PI,Female,60-64,120
PI,Female,65-69,115
PI,Female,70-74,148
PI,Female,75-79,115
PI,Female,80-84,97
PI,Female,85-89,72
PI,Female,90+,35
PI,Male,0,2
PI,Male,01-04,0
PI,Male,05-09,0
PI,Male,10-14,0
PI,Male,15-19,0
PI,Male,20-24,11
PI,Male,25-29,13
PI,Male,30-34,24
PI,Male,35-39,29
PI,Male,40-44,51
PI,Male,45-49,62
PI,Male,50-54,93
PI,Male,55-59,118
PI,Male,60-64,161
PI,Male,65-69,161
PI,Male,70-74,179
PI,Male,75-79,166
PI,Male,80-84,139
PI,Male,85-89,62
PI,Male,90+,41
PI,Total,0,6
PI,Total,01-04,0
PI,Total,05-09,0
PI,Total,10-14,2
PI,Total,15-19,0
PI,Total,20-24,19
PI,Total,25-29,27
PI,Total,30-34,41
PI,Total,35-39,43
PI,Total,40-44,88
PI,Total,45-49,110
PI,Total,50-54,153
PI,Total,55-59,183
PI,Total,60-64,281
PI,Total,65-69,276
PI,Total,70-74,327
PI,Total,75-79,281
PI,Total,80-84,236
PI,Total,85-89,134
PI,Total,90+,77
PR,Female,0,4
PR,Female,01-04,2
PR,Female,05-09,0
PR,Female,10-14,6
PR,Female,15-19,11
PR,Female,20-24,26
PR,Female,25-29,55
PR,Female,30-34,99
PR,Female,35-39,144
PR,Female,40-44,226
PR,Female,45-49,280
PR,Female,50-54,473
PR,Female,55-59,573
PR,Female,60-64,739
PR,Female,65-69,958
PR,Female,70-74,845
PR,Female,75-79,655
PR,Female,80-84,515
PR,Female,85-89,332
PR,Female,90+,165
PR,Male,0,4
PR,Male,01-04,0
PR,Male,05-09,2
PR,Male,10-14,1
PR,Male,15-19,11
PR,Male,20-24,37
PR,Male,25-29,79
PR,Male,30-34,159
PR,Male,35-39,267
PR,Male,40-44,345
PR,Male,45-49,515
PR,Male,50-54,669
PR,Male,55-59,847
PR,Male,60-64,1134
PR,Male,65-69,1159
PR,Male,70-74,1128
PR,Male,75-79,903
PR,Male,80-84,602
PR,Male,85-89,311
PR,Male,90+,143
PR,Total,0,7
PR,Total,01-04,2
PR,Total,05-09,2
PR,Total,10-14,7
PR,Total,15-19,22
PR,Total,20-24,63
PR,Total,25-29,134
PR,Total,30-34,258
PR,Total,35-39,411
PR,Total,40-44,571
PR,Total,45-49,795
PR,Total,50-54,1141
PR,Total,55-59,1420
PR,Total,60-64,1873
PR,Total,65-69,2116
PR,Total,70-74,1972
PR,Total,75-79,1558
PR,Total,80-84,1116
PR,Total,85-89,644
PR,Total,90+,308
RJ,Female,0,13
RJ,Female,01-04,0
RJ,Female,05-09,3
RJ,Female,10-14,4
RJ,Female,15-19,11
RJ,Female,20-24,46
RJ,Female,25-29,78
RJ,Female,30-34,114
RJ,Female,35-39,163
RJ,Female,40-44,302
RJ,Female,45-49,384
RJ,Female,50-54,486
RJ,Female,55-59,771
RJ,Female,60-64,1113
RJ,Female,65-69,1289
RJ,Female,70-74,1246
RJ,Female,75-79,968
RJ,Female,80-84,868
RJ,Female,85-89,672
RJ,Female,90+,480
RJ,Male,0,6
RJ,Male,01-04,3
RJ,Male,05-09,0
RJ,Male,10-14,0
RJ,Male,15-19,11
RJ,Male,20-24,31
RJ,Male,25-29,76
RJ,Male,30-34,134
RJ,Male,35-39,279
RJ,Male,40-44,407
RJ,Male,45-49,490
RJ,Male,50-54,718
RJ,Male,55-59,928
RJ,Male,60-64,1217
RJ,Male,65-69,1429
RJ,Male,70-74,1394
RJ,Male,75-79,1072
RJ,Male,80-84,825
RJ,Male,85-89,522
RJ,Male,90+,323
RJ,Total,0,19
RJ,Total,01-04,3
RJ,Total,05-09,3
RJ,Total,10-14,4
RJ,Total,15-19,23
RJ,Total,20-24,78
RJ,Total,25-29,154
RJ,Total,30-34,248
RJ,Total,35-39,442
RJ,Total,40-44,709
RJ,Total,45-49,874
RJ,Total,50-54,1203
RJ,Total,55-59,1699
RJ,Total,60-64,2331
RJ,Total,65-69,2718
RJ,Total,70-74,2640
RJ,Total,75-79,2040
RJ,Total,80-84,1693
RJ,Total,85-89,1195
RJ,Total,90+,803
RN,Female,0,2
RN,Female,01-04,1
RN,Female,05-09,0
RN,Female,10-14,0
RN,Female,15-19,1
RN,Female,20-24,9
RN,Female,25-29,12
RN,Female,30-34,19
RN,Female,35-39,36
RN,Female,40-44,51
RN,Female,45-49,62
RN,Female,50-54,77
RN,Female,55-59,100
RN,Female,60-64,120
RN,Female,65-69,145
RN,Female,70-74,161
RN,Female,75-79,122
RN,Female,80-84,94
RN,Female,85-89,83
RN,Female,90+,73
RN,Male,0,0
RN,Male,01-04,0
RN,Male,05-09,1
RN,Male,10-14,0
RN,Male,15-19,1
RN,Male,20-24,9
RN,Male,25-29,17
RN,Male,30-34,31
RN,Male,35-39,40
RN,Male,40-44,68
RN,Male,45-49,78
RN,Male,50-54,97
RN,Male,55-59,148
RN,Male,60-64,149
RN,Male,65-69,166
RN,Male,70-74,152
RN,Male,75-79,151
RN,Male,80-84,116
RN,Male,85-89,54
RN,Male,90+,52
RN,Total,0,2
RN,Total,01-04,1
RN,Total,05-09,1
RN,Total,10-14,0
RN,Total,15-19,2
RN,Total,20-24,18
RN,Total,25-29,29
RN,Total,30-34,50
RN,Total,35-39,76
RN,Total,40-44,119
RN,Total,45-49,140
RN,Total,50-54,173
RN,Total,55-59,248
RN,Total,60-64,269
RN,Total,65-69,310
RN,Total,70-74,313
RN,Total,75-79,273
RN,Total,80-84,210
RN,Total,85-89,138
RN,Total,90+,126
RO,Female,0,0
RO,Female,01-04,3
RO,Female,05-09,0
RO,Female,10-14,0
RO,Female,15-19,9
RO,Female,20-24,6
RO,Female,25-29,18
RO,Female,30-34,47
RO,Female,35-39,56
RO,Female,40-44,73
RO,Female,45-49,82
RO,Female,50-54,118
RO,Female,55-59,150
RO,Female,60-64,190
RO,Female,65-69,188
RO,Female,70-74,152
RO,Female,75-79,127
RO,Female,80-84,88
RO,Female,85-89,38
RO,Female,90+,27
RO,Male,0,3
RO,Male,01-04,0
RO,Male,05-09,0
RO,Male,10-14,2
RO,Male,15-19,2
RO,Male,20-24,9
RO,Male,25-29,36
RO,Male,30-34,55
RO,Male,35-39,79
RO,Male,40-44,117
RO,Male,45-49,140
RO,Male,50-54,209
RO,Male,55-59,217
RO,Male,60-64,270
RO,Male,65-69,241
RO,Male,70-74,252
RO,Male,75-79,153
RO,Male,80-84,97
RO,Male,85-89,62
RO,Male,90+,30
RO,Total,0,3
RO,Total,01-04,3
RO,Total,05-09,0
RO,Total,10-14,2
RO,Total,15-19,11
RO,Total,20-24,15
RO,Total,25-29,55
RO,Total,30-34,102
RO,Total,35-39,135
RO,Total,40-44,190
RO,Total,45-49,221
RO,Total,50-54,328
RO,Total,55-59,367
RO,Total,60-64,460
RO,Total,65-69,429
RO,Total,70-74,403
RO,Total,75-79,281
RO,Total,80-84,185
RO,Total,85-89,100
RO,Total,90+,58
RR,Female,0,0
RR,Female,01-04,0
RR,Female,05-09,0
RR,Female,10-14,0
RR,Female,15-19,1
RR,Female,20-24,2
RR,Female,25-29,12
RR,Female,30-34,16
RR,Female,35-39,15
RR,Female,40-44,22
RR,Female,45-49,18
RR,Female,50-54,26
RR,Female,55-59,36
RR,Female,60-64,50
RR,Female,65-69,45
RR,Female,70-74,36
RR,Female,75-79,22
RR,Female,80-84,9
RR,Female,85-89,8
RR,Female,90+,6
RR,Male,0,0
RR,Male,01-04,0
RR,Male,05-09,0
RR,Male,10-14,0
RR,Male,15-19,0
RR,Male,20-24,0
RR,Male,25-29,3
RR,Male,30-34,12
RR,Male,35-39,24
RR,Male,40-44,35
RR,Male,45-49,40
RR,Male,50-54,50
RR,Male,55-59,36
RR,Male,60-64,46
RR,Male,65-69,45
RR,Male,70-74,46
RR,Male,75-79,28
RR,Male,80-84,22
RR,Male,85-89,12
RR,Male,90+,1
RR,Total,0,0
RR,Total,01-04,0
RR,Total,05-09,0
RR,Total,10-14,0
RR,Total,15-19,1
RR,Total,20-24,2
RR,Total,25-29,16
RR,Total,30-34,28
RR,Total,35-39,39
RR,Total,40-44,57
RR,Total,45-49,58
RR,Total,50-54,76
RR,Total,55-59,72
RR,Total,60-64,96
RR,Total,65-69,91
RR,Total,70-74,83
RR,Total,75-79,50
RR,Total,80-84,31
RR,Total,85-89,20
RR,Total,90+,7
RS,Female,0,1
RS,Female,01-04,2
RS,Female,05-09,0
RS,Female,10-14,5
RS,Female,15-19,16
RS,Female,20-24,35
RS,Female,25-29,60
RS,Female,30-34,109
RS,Female,35-39,163
RS,Female,40-44,277
RS,Female,45-49,374
RS,Female,50-54,506
RS,Female,55-59,652
RS,Female,60-64,886
RS,Female,65-69,1051
RS,Female,70-74,994
RS,Female,75-79,848
RS,Female,80-84,682
RS,Female,85-89,482
RS,Female,90+,307
RS,Male,0,3
RS,Male,01-04,2
RS,Male,05-09,1
RS,Male,10-14,2
RS,Male,15-19,12
RS,Male,20-24,25
RS,Male,25-29,77
RS,Male,30-34,150
RS,Male,35-39,229
RS,Male,40-44,349
RS,Male,45-49,468
RS,Male,50-54,641
RS,Male,55-59,893
RS,Male,60-64,1107
RS,Male,65-69,1254
RS,Male,70-74,1215
RS,Male,75-79,956
RS,Male,80-84,686
RS,Male,85-89,383
RS,Male,90+,178
RS,Total,0,4
RS,Total,01-04,4
RS,Total,05-09,1
RS,Total,10-14,7
RS,Total,15-19,28
RS,Total,20-24,59
RS,Total,25-29,137
RS,Total,30-34,259
RS,Total,35-39,392
RS,Total,40-44,626
RS,Total,45-49,842
RS,Total,50-54,1147
RS,Total,55-59,1544
RS,Total,60-64,1992
RS,Total,65-69,2306
RS,Total,70-74,2209
RS,Total,75-79,1804
RS,Total,80-84,1369
RS,Total,85-89,865
RS,Total,90+,484
SC,Female,0,3
SC,Female,01-04,0
SC,Female,05-09,0
SC,Female,10-14,1
SC,Female,15-19,8
SC,Female,20-24,17
SC,Female,25-29,32
SC,Female,30-34,43
SC,Female,35-39,84
SC,Female,40-44,146
SC,Female,45-49,167
SC,Female,50-54,270
SC,Female,55-59,301
SC,Female,60-64,418
SC,Female,65-69,511
SC,Female,70-74,514
SC,Female,75-79,420
SC,Female,80-84,347
SC,Female,85-89,214
SC,Female,90+,114
SC,Male,0,3
SC,Male,01-04,4
SC,Male,05-09,0
SC,Male,10-14,0
SC,Male,15-19,6
SC,Male,20-24,19
SC,Male,25-29,38
SC,Male,30-34,86
SC,Male,35-39,120
SC,Male,40-44,179
SC,Male,45-49,261
SC,Male,50-54,366
SC,Male,55-59,518
SC,Male,60-64,644
SC,Male,65-69,709
SC,Male,70-74,637
SC,Male,75-79,518
SC,Male,80-84,312
SC,Male,85-89,183
SC,Male,90+,70
SC,Total,0,6
SC,Total,01-04,4
SC,Total,05-09,0
SC,Total,10-14,1
SC,Total,15-19,14
SC,Total,20-24,36
SC,Total,25-29,70
SC,Total,30-34,129
SC,Total,35-39,204
SC,Total,40-44,325
SC,Total,45-49,428
SC,Total,50-54,636
SC,Total,55-59,819
SC,Total,60-64,1061
SC,Total,65-69,1219
SC,Total,70-74,1151
SC,Total,75-79,938
SC,Total,80-84,659
SC,Total,85-89,397
SC,Total,90+,183
SE,Female,0,3
SE,Female,01-04,2
SE,Female,05-09,0
SE,Female,10-14,3
SE,Female,15-19,3
SE,Female,20-24,6
SE,Female,25-29,8
SE,Female,30-34,13
SE,Female,35-39,16
SE,Female,40-44,31
SE,Female,45-49,46
SE,Female,50-54,57
SE,Female,55-59,77
SE,Female,60-64,98
SE,Female,65-69,109
SE,Female,70-74,104
SE,Female,75-79,82
SE,Female,80-84,70
SE,Female,85-89,39
SE,Female,90+,39
SE,Male,0,6
SE,Male,01-04,1
SE,Male,05-09,2
SE,Male,10-14,3
SE,Male,15-19,2
SE,Male,20-24,7
SE,Male,25-29,9
SE,Male,30-34,31
SE,Male,35-39,32
SE,Male,40-44,50
SE,Male,45-49,58
SE,Male,50-54,74
SE,Male,55-59,95
SE,Male,60-64,132
SE,Male,65-69,134
SE,Male,70-74,116
SE,Male,75-79,106
SE,Male,80-84,61
SE,Male,85-89,39
SE,Male,90+,27
SE,Total,0,9
SE,Total,01-04,3
SE,Total,05-09,2
SE,Total,10-14,6
SE,Total,15-19,5
SE,Total,20-24,13
SE,Total,25-29,17
SE,Total,30-34,44
SE,Total,35-39,48
SE,Total,40-44,80
SE,Total,45-49,104
SE,Total,50-54,131
SE,Total,55-59,172
SE,Total,60-64,230
SE,Total,65-69,243
SE,Total,70-74,220
SE,Total,75-79,188
SE,Total,80-84,131
SE,Total,85-89,77
SE,Total,90+,66
SP,Female,0,7
SP,Female,01-04,3
SP,Female,05-09,7
SP,Female,10-14,11
SP,Female,15-19,30
SP,Female,20-24,102
SP,Female,25-29,214
SP,Female,30-34,340
SP,Female,35-39,557
SP,Female,40-44,771
SP,Female,45-49,1020
SP,Female,50-54,1512
SP,Female,55-59,2085
SP,Female,60-64,2771
SP,Female,65-69,3079
SP,Female,70-74,2949
SP,Female,75-79,2417
SP,Female,80-84,1950
SP,Female,85-89,1256
SP,Female,90+,859
SP,Male,0,14
SP,Male,01-04,5
SP,Male,05-09,4
SP,Male,10-14,9
SP,Male,15-19,13
SP,Male,20-24,104
SP,Male,25-29,241
SP,Male,30-34,540
SP,Male,35-39,908
SP,Male,40-44,1272
SP,Male,45-49,1665
SP,Male,50-54,2221
SP,Male,55-59,2953
SP,Male,60-64,3524
SP,Male,65-69,3916
SP,Male,70-74,3594
SP,Male,75-79,2830
SP,Male,80-84,2010
SP,Male,85-89,1157
SP,Male,90+,556
SP,Total,0,21
SP,Total,01-04,8
SP,Total,05-09,11
SP,Total,10-14,20
SP,Total,15-19,43
SP,Total,20-24,206
SP,Total,25-29,455
SP,Total,30-34,880
SP,Total,35-39,1464
SP,Total,40-44,2043
SP,Total,45-49,2685
SP,Total,50-54,3733
SP,Total,55-59,5038
SP,Total,60-64,6295
SP,Total,65-69,6995
SP,Total,70-74,6543
SP,Total,75-79,5247
SP,Total,80-84,3960
SP,Total,85-89,2414
SP,Total,90+,1414
TO,Female,0,1
TO,Female,01-04,1
TO,Female,05-09,0
TO,Female,10-14,0
TO,Female,15-19,1
TO,Female,20-24,7
TO,Female,25-29,11
TO,Female,30-34,12
TO,Female,35-39,20
TO,Female,40-44,28
TO,Female,45-49,28
TO,Female,50-54,31
TO,Female,55-59,55
TO,Female,60-64,61
TO,Female,65-69,78
TO,Female,70-74,56
TO,Female,75-79,67
TO,Female,80-84,55
TO,Female,85-89,28
TO,Female,90+,16
TO,Male,0,3
TO,Male,01-04,0
TO,Male,05-09,0
TO,Male,10-14,0
TO,Male,15-19,1
TO,Male,20-24,3
TO,Male,25-29,5
TO,Male,30-34,13
TO,Male,35-39,29
TO,Male,40-44,36
TO,Male,45-49,48
TO,Male,50-54,43
TO,Male,55-59,64
TO,Male,60-64,75
TO,Male,65-69,92
TO,Male,70-74,82
TO,Male,75-79,120
TO,Male,80-84,67
TO,Male,85-89,52
TO,Male,90+,33
TO,Total,0,4
TO,Total,01-04,1
TO,Total,05-09,0
TO,Total,10-14,0
TO,Total,15-19,3
TO,Total,20-24,9
TO,Total,25-29,16
TO,Total,30-34,25
TO,Total,35-39,49
TO,Total,40-44,64
TO,Total,45-49,76
TO,Total,50-54,74
TO,Total,55-59,119
TO,Total,60-64,136
TO,Total,65-69,170
TO,Total,70-74,138
TO,Total,75-79,187
TO,Total,80-84,122
TO,Total,85-89,80
TO,Total,90+,49